CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1,47,Female,Month-to-month,90.71,4263.37,No,Fiber optic,47,Yes,Electronic check,Yes,90.71,0.0
2,37,Male,Month-to-month,50.51,3485.19,No,No,69,No,Electronic check,Yes,50.51,0.0
3,49,Female,Two year,55.18,1324.32,No,DSL,24,Yes,Bank transfer (automatic),No,55.18,1324.32
4,62,Female,Month-to-month,39.41,2798.11,Yes,No,71,Yes,Credit card (automatic),No,39.410000000000004,2798.11
5,36,Female,Month-to-month,43.32,1472.88,Yes,Fiber optic,34,Yes,Electronic check,No,43.32,1472.88
6,36,Male,One year,46.95,2347.5,Yes,No,50,Yes,Mailed check,No,46.95,2347.5
7,63,Female,Month-to-month,39.9,1675.8,No,Fiber optic,42,Yes,Electronic check,No,39.9,1675.8
8,51,Female,One year,51.28,1692.24,No,DSL,33,Yes,Credit card (automatic),No,51.28,1692.24
9,32,Female,Month-to-month,48.32,1304.64,,Fiber optic,27,No,Bank transfer (automatic),No,48.32,1304.64
10,48,Male,One year,95.13,5612.67,Yes,Fiber optic,59,Yes,Credit card (automatic),No,95.13,5612.67
11,33,Male,Two year,38.48,731.12,Yes,Fiber optic,19,Yes,Credit card (automatic),No,38.48,731.12
12,33,Female,One year,56.31,168.93,No,Fiber optic,3,Yes,Bank transfer (automatic),No,56.31,168.93
13,43,Male,Month-to-month,58.81,4175.51,No,Fiber optic,71,No,Mailed check,Yes,58.81,0.0
14,18,Female,Month-to-month,39.6,990.0,Yes,Fiber optic,25,Yes,Mailed check,No,39.6,990.0
15,18,Male,Two year,67.09,1006.35,Yes,Fiber optic,15,Yes,Electronic check,No,67.09,1006.35
16,31,Male,Month-to-month,48.45,2907.0,Yes,Fiber optic,60,No,Electronic check,No,48.45,2907.0
17,24,Female,Month-to-month,25.85,594.55,No,Fiber optic,23,No,Mailed check,Yes,25.849999999999998,0.0
18,44,Female,One year,66.55,732.05,Yes,No,11,No,Bank transfer (automatic),No,66.55,732.05
19,26,Female,Month-to-month,39.05,2303.95,No,DSL,59,Yes,Credit card (automatic),No,39.05,2303.95
20,18,Male,Month-to-month,39.87,1355.58,No,No,34,No,Bank transfer (automatic),No,39.87,1355.58
21,61,Female,Month-to-month,67.11,469.77,No,,7,No,Credit card (automatic),No,67.11,469.77
22,36,Male,Month-to-month,49.2,2164.8,Yes,Fiber optic,44,No,Credit card (automatic),No,49.2,2164.8
23,41,Male,Month-to-month,71.9,4601.6,Yes,Fiber optic,64,Yes,Mailed check,No,71.9,4601.6
24,18,Female,One year,78.5,1805.5,Yes,Fiber optic,23,No,Mailed check,No,78.5,1805.5
25,31,Male,Month-to-month,44.99,2609.42,Yes,DSL,58,Yes,Bank transfer (automatic),No,44.99,2609.42
26,41,Female,One year,69.27,1385.4,No,DSL,20,Yes,Credit card (automatic),No,69.27000000000001,1385.4
27,22,Male,One year,43.53,1175.31,No,DSL,27,No,Bank transfer (automatic),No,43.53,1175.31
28,45,Female,One year,106.69,6401.4,No,Fiber optic,60,Yes,Electronic check,No,106.69,6401.4
29,30,Male,Month-to-month,44.35,354.8,No,DSL,8,Yes,Mailed check,Yes,44.35,0.0
30,35,Male,One year,74.28,4976.76,Yes,DSL,67,Yes,Mailed check,Yes,74.28,0.0
31,30,Female,Month-to-month,70.33,140.66,No,DSL,2,No,Credit card (automatic),No,70.33,140.66
